用例编号,模块,用例名称,前置条件,步骤,预期结果,实际结果,是否通过,结果截图说明
TC-AUTH-001,认证,用户登录-正确账号密码,无,1. 打开登录页 2. 输入正确用户名/邮箱和密码 3. 点击登录,返回200和JWT，跳转首页,待填写,待填写,运行API测试或Swagger截图
TC-AUTH-002,认证,用户登录-错误密码,无,1. 输入正确用户名、错误密码 2. 点击登录,返回401或错误提示,待填写,待填写,同上
TC-AUTH-003,认证,用户注册,无,1. 打开注册页 2. 填写邮箱、用户名、密码、角色 3. 提交,返回201，用户创建成功,待填写,待填写,Swagger或前端截图
TC-AUTH-004,认证,获取当前用户信息,已登录,1. 携带有效JWT请求 GET /auth/me,返回当前用户信息,待填写,待填写,API测试结果
TC-PROP-001,房源,分页查询房源列表,无,1. 请求 GET /properties?page=0&size=10,返回分页房源列表,待填写,待填写,Swagger或Postman截图
TC-PROP-002,房源,根据ID查询房源详情,无,1. 请求 GET /properties/{id},返回该房源详情,待填写,待填写,同上
TC-PROP-003,房源,房东发布房源,房东已登录,1. POST /properties 提交标题、价格、描述等,返回201和房源ID,待填写,待填写,同上
TC-CONV-001,咨询,创建对话,租客已登录,1. POST /conversations 传入 propertyId,返回对话ID,待填写,待填写,同上
TC-CONV-002,咨询,发送消息,已存在对话,1. POST /conversations/{id}/messages 传入内容,消息保存并返回,待填写,待填写,同上
TC-CONTRACT-001,合同,创建合同,房东已登录,1. POST 创建合同接口 传入房源、租客等,返回合同ID及状态,待填写,待填写,同上
TC-CONTRACT-002,合同,租客签署合同,租客已登录,1. 调用签署接口,合同状态变为已签署,待填写,待填写,同上
TC-PAY-001,支付,创建支付订单,已存在待支付订单,1. 调用创建支付接口,返回支付订单号或跳转链接,待填写,待填写,同上
TC-ML-001,价格预测,租金预测接口,后端与ML服务已启动,1. POST 预测接口 传入面积、房间数等特征,返回预测价格或区间,待填写,待填写,同上
